dataset_id,proportion_of_village,cluster_type,n,ratio
2,0.8200000000000001,random,8,1
2,0.8300000000000001,hierarchical clustering,8,1
2,0.8300000000000001,k-means,8,1
2,0.8300000000000001,random,8,1
2,0.8400000000000001,hierarchical clustering,8,1
2,0.8400000000000001,k-means,8,1
2,0.8400000000000001,random,8,1
2,0.8500000000000001,hierarchical clustering,8,1
2,0.8500000000000001,k-means,8,1
2,0.8500000000000001,random,8,1
2,0.8600000000000001,hierarchical clustering,8,1
2,0.8600000000000001,k-means,8,1
2,0.8600000000000001,random,8,1
2,0.8700000000000001,hierarchical clustering,8,1
2,0.8700000000000001,k-means,8,1
2,0.8700000000000001,random,8,1
2,0.8800000000000001,hierarchical clustering,8,1
2,0.8800000000000001,k-means,8,1
2,0.8800000000000001,random,8,1
2,0.89,hierarchical clustering,8,1
2,0.89,k-means,8,1
2,0.89,random,8,1
2,0.9,hierarchical clustering,8,1
2,0.9,k-means,8,1
2,0.9,random,8,1
3,0.05,hierarchical clustering,5,0.625
3,0.05,k-means,6,0.75
3,0.05,random,4,0.5
3,0.060000000000000005,hierarchical clustering,7,0.875
3,0.060000000000000005,k-means,5,0.625
3,0.060000000000000005,random,6,0.75
3,0.07,hierarchical clustering,7,0.875
3,0.07,k-means,5,0.625
3,0.07,random,4,0.5
3,0.08,hierarchical clustering,5,0.625
3,0.08,k-means,6,0.75
3,0.08,random,5,0.625
3,0.09,hierarchical clustering,7,0.875
3,0.09,k-means,7,0.875
3,0.09,random,7,0.875
3,0.1,hierarchical clustering,7,0.875
3,0.1,k-means,8,1
3,0.1,random,4,0.5
3,0.11,hierarchical clustering,7,0.875
3,0.11,k-means,6,0.75
3,0.11,random,5,0.625
3,0.12000000000000001,hierarchical clustering,6,0.75
3,0.12000000000000001,k-means,7,0.875
3,0.12000000000000001,random,7,0.875
3,0.13,hierarchical clustering,7,0.875
3,0.13,k-means,7,0.875
3,0.13,random,4,0.5
3,0.14,hierarchical clustering,7,0.875
3,0.14,k-means,7,0.875
3,0.14,random,7,0.875
3,0.15000000000000002,hierarchical clustering,7,0.875
3,0.15000000000000002,k-means,7,0.875
3,0.15000000000000002,random,6,0.75
3,0.16,hierarchical clustering,7,0.875
3,0.16,k-means,6,0.75
3,0.16,random,7,0.875
3,0.16999999999999998,hierarchical clustering,7,0.875
3,0.16999999999999998,k-means,6,0.75
3,0.16999999999999998,random,7,0.875
3,0.18,hierarchical clustering,6,0.75
3,0.18,k-means,7,0.875
3,0.18,random,6,0.75
